1000 5000
895 946 259561207
543 592 634320880
551 481 881561505
635 830 388755137
300 916 909484269
270 11 948608530
676 422 430210777
806 267 395912329
136 60 769906389
206 911 555442235
468 862 357984888
482 203 441570816
594 283 676961792
861 703 286768122
372 450 325876417
935 203 85307533
203 477 525446030
368 500 325215115
989 801 176678633
296 281 625649325
211 618 718937265
56 715 530785648
473 434 624290313
629 795 188815080
512 495 9594191
207 281 408361718
363 577 955003305
417 530 555673130
806 426 922573327
71 689 489611083
633 528 222959852
701 886 326456663
200 947 918588280
333 280 394952808
947 802 406769085
226 328 424330079
447 776 260258699
496 663 537385264
419 724 648534176
595 412 197469531
192 411 528168832
715 917 920717587
856 310 457271209
687 319 860981229
570 224 941256762
908 994 775913290
275 459 719181729
620 209 348323596
837 990 312182893
611 474 185540976
962 255 74814752
736 632 878005375
569 849 620774721
352 389 805235076
70 999 651966467
252 715 116547716
736 961 799985143
131 509 39453549
654 878 627557379
344 511 732647765
648 44 74727421
750 209 506633111
195 626 289220990
773 877 442792605
714 740 813724864
794 931 609045472
80 278 900014268
298 159 880184614
833 498 148192772
215 950 136719982
55 839 469493181
825 776 48637456
269 90 484405574
630 633 939974445
635 315 629622496
769 689 762794923
994 151 979309927
355 498 192680228
283 869 528526336
806 521 2144521
362 172 751500158
707 878 950276877
331 319 45119244
91 897 216275770
269 563 516508454
568 19 914137101
409 318 972375841
576 596 988773437
88 723 966560095
858 615 804602149
759 22 194229933
491 315 940010807
779 62 431329989
602 332 802648763
684 548 456907367
914 609 308954474
214 255 397201214
530 1000 751392215
361 198 719051327
386 45 527141766
201 604 451612402
234 6 81418076
255 221 824624737
587 917 988564449
418 729 599739934
714 17 23013187
903 632 851461389
870 353 377512385
339 950 591537813
820 186 620532945
165 946 692387979
134 787 65629296
774 230 898440945
181 291 554539349
522 279 351773400
545 492 609228002
33 646 51857382
689 156 579036596
312 43 225988938
713 835 709439523
766 131 924985592
741 282 499081617
322 180 184621048
493 985 261721480
249 584 996424333
296 8 382518364
61 290 443056129
451 665 643408233
472 11 448018452
700 477 905036259
985 102 790558870
572 508 215354268
16 652 989140789
54 33 338448136
684 396 336131919
524 962 653235670
76 178 191295604
831 417 268313191
241 447 248699061
785 162 69541272
30 134 298465151
669 51 417035771
264 763 408224991
685 830 331085156
601 480 342244582
359 754 395451843
733 558 336543829
243 134 377311957
703 225 370233646
523 650 277883743
690 967 791802745
806 199 22738134
777 632 551639834
108 977 273362067
10 618 727207007
303 776 807530398
519 738 713399736
609 207 592540530
962 180 9531303
901 212 177821555
691 509 553833428
80 435 821224931
975 435 200864862
562 839 530157424
364 865 124117282
609 310 605805586
217 504 798413988
458 978 528838885
781 568 703838302
775 949 320521926
830 221 497920855
648 776 287168876
648 241 478775140
428 860 233523370
661 434 961893133
63 13 336414909
263 609 461342511
266 897 99589299
364 324 70240041
784 486 82686044
490 344 901012508
190 995 995358345
968 153 535752874
496 292 931772984
389 500 931930703
741 358 685079405
693 566 729546680
596 600 916705509
229 421 757299186
876 587 790676357
921 279 140954900
144 623 665614805
810 883 232907108
683 257 334290368
588 708 24913824
247 558 107106877
538 266 166851856
705 641 263813931
773 732 911395566
132 864 646850711
34 786 707090798
757 208 164620213
514 616 530004939
386 634 656938844
319 641 419306126
799 271 333649285
134 351 889422399
364 131 56036975
607 450 470827900
337 612 927974936
614 34 332123262
466 549 762289757
132 582 102899977
801 775 255618567
115 492 73988004
460 402 100353523
967 153 155867084
96 608 374640394
839 641 559376151
179 31 491208524
239 843 833229305
797 273 492081233
86 596 537049642
976 248 821425406
988 833 569972501
503 472 624759979
297 266 530096041
925 854 164937620
400 783 273063251
329 131 41966499
74 631 137245267
103 990 196044355
955 50 289573849
870 855 212869564
694 166 791069362
471 250 941441922
541 15 608987302
514 783 225876678
137 1000 48760164
810 248 797577736
712 926 162514013
923 795 817490620
147 118 149525800
911 502 659592642
281 225 704939563
29 565 684076678
754 632 93423657
260 719 134569187
340 598 673177834
327 594 445694423
340 468 929162773
738 225 411057096
793 952 212515539
551 670 846415525
757 407 218030725
401 608 633426740
227 700 467397353
344 86 678437216
9 177 739323305
543 404 681476347
469 43 124699223
281 142 840494594
656 915 504471129
573 691 196732557
880 608 710001514
756 255 363870078
885 849 224549373
555 861 209247669
887 926 40848241
982 654 539058762
608 953 152252822
122 410 365867677
996 860 678558189
26 815 989837462
933 172 835864935
483 692 621878305
689 997 941689989
698 349 860416658
482 128 504259584
427 518 691417494
414 510 741757883
339 254 480581231
389 972 480332799
764 156 678980862
981 987 557172992
104 271 871406218
940 864 47924827
290 480 151959377
386 809 128011700
557 142 777862193
811 935 121845362
201 229 324881306
889 334 96574662
834 848 14028357
356 281 639810255
824 791 435718483
155 61 562231888
401 812 776111231
595 632 696431967
60 764 564243158
228 306 219575073
367 865 813579902
597 3 176945940
605 711 454631430
486 754 966091204
245 407 165009431
582 310 744353540
802 59 856054647
246 71 630688382
822 281 27739416
507 500 380922451
269 86 660097267
199 869 870198499
213 715 249353191
144 548 788489239
988 522 429956682
987 957 625250614
828 924 479683990
897 178 565317438
269 290 547330734
936 65 37506606
411 217 733972391
239 958 991763993
715 6 623243580
205 876 299767981
522 66 471841764
792 204 636718719
519 77 320644129
802 632 930230286
579 423 447736294
944 120 547407723
789 489 529608278
464 271 157877051
989 519 121013352
161 577 253597801
420 928 451979748
538 353 40709311
529 131 360093639
152 881 665234220
637 977 384542088
740 118 524011295
441 593 134063282
198 415 8146418
56 349 893860720
506 254 465751917
69 614 429917384
76 950 796687824
222 682 384179262
147 872 67990358
652 410 406866377
918 221 762647960
539 102 48748425
449 42 815052480
835 604 80328428
101 560 938632589
893 494 314448111
666 895 882421933
891 827 468702937
876 539 796703173
642 700 870546095
211 292 514992913
44 131 703402542
700 317 372850489
229 809 102651809
671 132 95000138
12 593 826110910
862 644 857320654
945 953 395473351
63 930 7173103
269 962 754068416
790 10 606509209
853 978 218098487
661 481 362776796
608 808 244039088
61 207 498899291
619 280 307596580
620 869 970254883
5 69 746816459
112 364 160816720
56 815 725242514
767 15 362937849
598 802 315102860
600 903 43525848
605 215 550379766
518 373 366952584
14 225 164095285
618 632 111356406
336 567 360530801
645 285 881093425
166 509 151400633
668 120 840526199
221 215 444589717
868 151 510923317
268 979 244719386
945 947 63279421
456 248 197623487
140 753 284316210
539 253 303949908
814 471 372415044
668 193 73915812
659 89 84988999
66 563 306404256
157 363 130296534
832 692 280584342
990 332 935498179
236 424 359816345
917 178 964836151
634 521 782628424
384 550 110121266
639 107 140035499
604 317 601582379
648 201 604555380
812 519 466994708
372 125 962971048
282 315 471174700
350 198 846768397
433 553 408177134
108 584 378090215
900 226 200017100
912 198 53651270
31 972 182606912
561 958 247054320
79 691 119200966
282 253 199153912
121 107 839574388
724 903 775643353
51 157 780806759
879 623 780250903
587 60 815318257
733 253 386183753
456 320 39302694
911 230 352766658
28 803 893487291
210 491 303843081
827 495 89784686
852 689 755808800
12 128 522608375
579 182 815058895
985 334 545294581
393 309 690951375
835 209 184322983
262 403 81063265
417 994 683833030
510 946 465747926
29 830 553595491
679 65 693385253
68 315 315474424
760 427 928955689
19 577 880909116
460 447 736510652
244 862 460876715
473 654 905473159
310 657 814364889
808 483 513050984
117 148 838164397
874 467 328474564
787 65 499190828
569 191 921591302
975 980 612137305
672 387 801812523
311 93 195177082
301 505 505453010
938 365 38855976
508 632 303398371
746 496 105759540
340 175 120447676
470 112 385862222
27 62 761423967
788 990 765355408
167 242 622766895
918 282 831776391
315 310 485513697
788 262 158425439
877 452 101164202
820 582 243111887
15 809 89763270
112 373 683117857
617 584 581368592
154 703 803591913
718 742 635903535
336 665 863215747
804 290 662608746
780 376 32494705
637 450 553522992
602 252 786725492
415 310 500266170
582 19 666177831
755 791 746547779
645 136 149025014
293 186 259887059
380 491 652779753
395 816 129201040
323 426 820881508
656 703 351807463
482 191 305371488
782 896 190787667
311 598 385409748
667 19 935401776
597 274 484591204
933 263 402852128
996 674 186841284
535 908 567278233
949 246 741833896
840 878 535220578
3 826 880354656
803 374 130901527
840 6 597137669
556 14 127753688
888 805 646757682
498 321 910313975
113 233 976538343
760 319 35352535
989 218 838973887
906 242 745947311
97 838 907265370
965 950 880554221
800 719 731559890
491 950 830070012
210 106 906991614
582 292 677009443
212 373 962260385
193 281 932094483
947 787 653971740
833 631 924625687
40 328 256074609
913 208 479113031
838 291 653593280
958 864 87955318
775 230 778317949
704 281 470218293
596 71 587646771
531 746 876276312
224 80 570738479
51 90 150167161
922 410 479877344
265 685 371851637
355 951 928691721
142 907 20544041
410 132 215757942
143 635 473758342
265 432 982616025
868 620 319215847
406 273 208328858
170 19 301083863
552 950 177170988
769 638 297122294
557 477 757635357
693 706 410121393
94 257 510312774
50 856 567301271
217 664 837327349
717 890 588831785
910 369 332478066
380 71 442044565
105 250 854950938
610 946 924828358
421 317 624765604
72 489 689767117
939 832 663337715
945 990 162920832
33 373 236155357
540 209 409802039
763 509 149159985
917 59 828931414
131 802 673510299
847 195 66686646
42 289 81795026
207 434 839115953
41 273 803868268
636 596 765461184
709 985 868487153
782 270 953084592
72 746 257516541
451 153 563765511
265 948 138065713
660 624 645114178
861 208 877247852
524 494 238521313
797 692 513799040
862 494 443878160
468 740 815632219
267 373 389893731
186 965 520923249
630 163 536784224
394 887 31252396
435 369 265434228
342 319 716704060
992 13 961195780
186 544 691423750
832 632 20595628
824 351 840615399
913 527 133306580
225 917 710785778
119 552 252311872
140 414 840757292
855 840 259382152
495 477 511886119
585 822 142485812
162 574 419463207
196 978 929690494
417 840 710906911
454 322 85343648
671 865 568781614
201 263 646212267
352 693 81649187
72 493 175313311
245 210 803288056
295 76 719362857
832 997 74877123
959 163 741655785
262 562 202315160
419 324 797855339
408 557 388158563
367 987 648114061
294 670 737477759
853 848 476393201
73 891 330475543
39 248 162790261
996 624 92963747
8 764 316048837
166 609 247061426
826 869 256645057
828 882 12638865
951 862 93602172
853 410 266416034
886 94 985777709
675 775 982270474
950 6 347086693
708 334 866606599
664 68 335683243
991 509 931984830
87 526 384522265
329 838 208880183
16 611 13927665
995 887 7958651
838 600 478355152
426 868 860435112
825 433 860766497
543 797 990694691
741 715 527799383
310 604 227742535
343 893 926355100
493 52 576245108
246 107 807292978
363 598 637348971
948 917 945508415
20 869 960788003
230 210 339079402
351 156 766335518
675 791 613295219
60 700 679931862
762 207 446554405
529 851 16611316
377 735 1405760
93 473 778987530
243 589 724339497
820 321 212899993
927 922 57337581
147 487 534652434
487 417 963657123
896 906 843180577
338 908 618973173
925 870 150937305
670 467 78667595
892 89 613973219
234 334 377735110
108 402 754452044
928 180 22180331
548 363 484422378
438 281 676705371
141 843 544754338
89 322 407689214
898 477 439675161
7 128 536664918
714 351 766633011
946 882 680738316
806 349 394061784
418 830 964638517
481 698 901124966
456 470 844882774
769 97 369235262
156 604 802870411
58 842 234475557
941 902 372624484
422 123 1492321
110 252 631821198
690 869 383240704
524 78 922658190
758 654 701618665
260 291 379943495
413 256 422632244
441 360 977826032
606 270 861043062
565 176 331748965
250 67 665059660
930 654 859995964
486 803 550901103
227 646 615781973
389 59 824562442
628 510 715136201
471 422 643452918
923 131 716002770
723 917 322256225
791 883 710656977
601 210 752895974
532 80 291614471
179 26 986797503
719 118 518690104
646 764 922787388
336 704 279634468
271 836 396737119
514 690 246652692
998 892 361936563
487 139 781043180
745 312 664158474
186 17 283029923
568 376 802411661
942 946 884717648
454 492 650161719
333 929 11405294
239 926 959054169
150 703 11162794
905 71 745514776
41 764 154064236
710 374 173117176
875 59 722008682
509 308 691144796
588 569 385947910
23 808 37804904
951 692 102423876
579 519 691279360
848 987 362427979
628 787 316286373
740 180 979002086
644 997 941153449
856 180 783789177
499 878 504597485
133 689 984147741
249 948 408984858
804 894 673633263
715 616 659022661
365 463 636231316
300 43 726313488
412 643 986218565
241 481 228453224
622 518 842684142
960 721 378304874
596 552 163148349
454 488 965711751
991 754 428195380
340 185 83826134
14 496 167260566
498 298 805198446
68 714 726709966
831 738 534000327
13 59 528771919
793 898 117472882
598 994 637410160
604 59 428418279
128 308 38154131
512 146 913199929
357 121 592742778
992 906 356886550
721 317 935173151
186 524 394353804
152 972 17616199
166 632 175556321
861 528 365364019
164 278 184756102
812 533 670267786
247 426 116538192
709 476 959393862
512 573 871847219
212 947 863881348
987 194 165231312
567 273 424680752
405 460 746725047
28 120 16870
882 917 795446694
730 467 591312447
388 446 448951762
330 120 962272409
382 850 542465699
427 298 88282313
219 513 77904557
734 640 398068708
974 869 56918595
423 844 765311481
387 47 422152631
379 793 617846899
798 815 70023194
66 831 437176382
24 266 68740821
614 805 336780068
194 210 94669538
952 724 897159006
126 875 386390263
754 68 260174900
857 974 95153447
259 904 933033326
935 255 309144108
275 470 371429473
115 880 570366114
961 505 748529050
44 349 668207849
651 194 645466250
562 226 264361113
883 873 914301948
588 516 96639197
763 468 719841207
484 815 283687305
121 282 544501516
182 944 27590743
593 719 315972445
821 530 525324858
135 589 721165960
14 646 560310937
996 504 753305825
622 514 986727080
484 308 260186298
316 835 233061404
601 76 165970678
873 908 877483449
927 182 937707405
521 290 471443393
443 830 447421968
552 500 817625072
101 235 895863144
182 749 832446539
327 178 685605045
347 59 636856609
715 950 244841395
660 841 817517208
301 200 390759174
820 132 305744064
233 740 501840405
541 306 333879355
342 269 652345996
522 565 436375222
859 169 305750462
191 59 219868531
286 618 314047465
175 620 301925707
727 48 11540830
663 787 275934629
873 903 341837439
895 71 967166990
122 997 671096951
758 540 930150119
276 415 17135883
312 946 282758008
661 657 81692693
118 776 702353183
361 651 629236095
886 842 655614471
295 700 293574477
441 563 865244922
819 839 67393148
957 76 294085849
858 288 743857951
475 162 469483181
367 349 939191072
574 211 641052901
640 184 883600706
877 621 202142811
118 869 842340818
103 154 480388772
417 654 832369363
532 152 388016773
868 156 405125406
288 467 775049033
859 907 57566914
708 358 487075021
594 997 744917443
498 572 109477364
678 78 941320073
177 495 369436972
643 196 234246201
771 319 394829914
902 211 552878651
165 431 535450929
616 477 184395287
754 59 412333412
786 70 414473949
647 641 903769445
270 185 274447508
552 809 759897602
507 283 478576564
602 703 185921149
180 151 919045779
457 66 166129365
77 159 582899902
471 118 201068094
662 186 561984720
591 875 568476208
600 776 54231395
901 472 111020637
228 62 720807728
7 910 964959509
260 780 658241178
22 508 780319011
188 36 545290176
695 491 460922728
829 842 865594623
245 780 215353107
313 373 334050553
779 838 764627245
30 322 746656280
511 615 853482029
901 897 310952251
822 267 581312898
314 844 806229586
944 373 304042492
729 189 95605418
341 302 9050312
644 907 3217910
649 283 764282384
953 754 801888800
568 963 582405063
447 509 669633259
78 715 614947720
798 60 710155933
727 325 576931006
420 764 596332548
339 492 196954565
445 807 599332930
727 440 406452917
942 36 653997083
511 703 413599357
332 203 240854317
248 169 490834476
279 136 593861047
911 868 282039348
667 577 362542175
80 942 135653780
576 906 178621495
800 967 554717063
625 33 380805045
369 840 600992617
101 205 125865339
623 86 453440255
292 477 823660526
446 473 427307552
235 666 506249745
631 292 669462434
2 873 330765244
427 738 872194008
642 111 464565482
527 687 851940398
711 917 280324224
580 963 117835414
557 59 147448545
159 180 807347102
505 495 566782470
526 412 359449212
549 1000 383136217
325 358 220832975
584 289 23262648
121 953 324797861
671 754 410121588
796 439 815609430
464 17 172756834
321 869 114952166
117 109 953383658
567 786 377398226
702 987 374418713
769 599 203048338
652 69 97974946
420 60 677478391
729 13 380755519
722 979 861143040
136 11 211264752
713 236 233094614
455 809 675701032
749 373 853013793
473 90 629753948
430 675 886756844
76 869 161599884
80 908 832842710
922 488 109651472
845 343 369928890
976 943 159721717
502 482 596056178
929 22 914465667
1000 616 953079517
394 693 424655431
676 341 872499088
744 1000 833697793
606 403 980520103
66 926 886932125
261 11 319869658
865 910 997729195
246 90 883285044
18 304 249908121
373 106 152398979
407 530 407976085
447 835 731640674
137 641 271875120
296 111 326945189
657 950 417894860
859 221 22819882
341 109 87520579
113 754 421576972
636 178 930365911
287 90 522460177
767 544 688956243
1 640 187647536
382 76 569556312
708 59 233163317
251 578 276756508
712 851 298603690
849 715 165180773
4 144 848367597
297 31 266340501
956 520 310302479
604 178 550998266
372 369 690376071
167 90 730261244
22 800 395425311
532 917 308866052
703 255 677885871
36 917 913803016
186 328 75162745
510 500 713098928
397 325 137652534
647 882 727133886
247 636 720655411
636 215 978883980
998 736 795772347
396 999 329693406
142 59 814068715
561 26 991247683
312 949 21320930
404 911 83534099
680 749 83283758
878 151 136172892
208 957 233640222
349 1000 619365222
718 741 996139894
707 34 178817372
442 122 847455942
571 364 754883001
687 552 430882139
431 600 296178906
649 86 53951757
880 953 83089736
227 203 905931134
473 602 166440821
410 681 930678379
86 742 819403292
724 6 914333235
985 647 526620623
709 861 818258895
246 860 194291215
797 65 706752657
96 990 413629613
988 266 791696271
939 13 359549643
530 764 546142844
533 41 262383345
831 462 838282782
311 322 166270652
581 695 905829772
550 553 432098007
871 495 390222986
93 198 558393265
254 196 850541535
228 90 162336998
958 584 60532924
594 962 45723030
425 794 218264431
190 746 389740199
284 527 29249938
758 281 185345339
510 148 389576101
427 757 37241972
46 95 745336551
447 299 711994085
564 267 102832207
639 185 138190211
829 875 612418034
157 591 935124299
724 489 598419549
102 210 341253534
274 162 823591489
583 724 810362474
874 415 978984121
297 904 385047351
350 272 931877797
582 615 663918569
911 43 960495467
529 52 752195787
93 539 582463371
671 133 634281968
314 188 761070803
467 636 533274903
918 692 847630086
100 10 417356337
157 510 779805213
25 569 300445553
894 830 384359509
971 401 545537212
790 209 216982843
661 809 644120510
397 777 141468551
234 156 16725870
761 111 2330914
20 224 731056287
380 424 963746067
927 367 236966563
177 67 490796663
166 242 475403942
511 71 808239600
272 657 683877293
133 868 218880041
893 212 471855075
133 291 270770673
826 483 312849142
653 351 719395456
624 88 806418294
116 129 685545790
943 50 383168372
213 465 311383729
423 15 114656105
143 825 341216287
543 950 462501717
931 584 84287044
757 871 164244338
378 757 460918892
464 604 133874907
190 69 530118786
844 982 263055530
194 369 346723382
159 856 863640147
633 813 773364120
469 392 431185139
976 512 239008464
544 435 66112853
121 452 484138929
888 530 740537087
643 849 865013244
177 620 657496612
839 987 958144203
240 305 685491553
321 491 921690507
183 695 234748161
914 601 737810784
991 753 924189407
681 56 321806247
859 864 141746647
772 733 726630983
914 8 53590698
169 868 115060032
418 235 752805158
43 439 250165065
968 166 182758757
95 945 774883260
604 898 256251829
538 581 568439683
595 79 390021443
306 462 58104639
702 955 87071376
49 862 124043181
402 197 423353936
353 827 517400438
879 573 662127394
456 335 824700797
764 221 592042732
288 525 238047179
16 573 223840682
911 123 27910650
87 751 7485710
676 194 803556963
250 787 175408498
810 567 626515966
243 266 240109241
416 802 580920662
816 905 290959013
600 465 575157801
563 512 652189968
871 17 300520584
35 30 451266393
129 521 667790334
345 292 828330121
945 109 947756851
163 197 21174830
779 545 942601825
141 220 513489075
749 450 695352815
106 180 368232379
191 178 277660857
930 159 881291955
647 809 504194414
453 494 829171960
150 786 702295640
841 494 284997409
905 496 634286290
961 12 460839730
524 636 915060159
526 281 333782639
529 350 915038488
956 706 756128381
69 63 178425663
692 225 697669834
862 324 219112658
702 252 684084702
345 916 954203680
549 903 756510457
810 933 246375387
313 417 599369234
745 124 788365833
548 270 403666037
29 705 447892286
325 167 379148172
554 372 534085784
879 844 925488111
152 594 202880186
389 175 469696096
490 745 821401458
771 67 655631673
937 335 139587069
326 151 221255904
52 242 888682991
261 795 587898743
621 316 656185373
828 651 364345958
934 159 530240841
256 201 337837110
591 616 793585587
179 89 952345142
367 906 879854696
551 923 364567619
967 215 173454026
930 244 290144411
155 726 688981709
223 865 110906432
952 299 286678753
642 283 231054326
200 965 246203550
140 649 313197648
572 289 609317501
548 254 888703506
343 322 301575567
566 600 371385922
548 435 165406590
547 775 515999394
331 43 686611622
403 946 52182584
11 435 913122744
85 987 293635875
833 991 550805807
293 266 352057484
254 924 797426962
641 17 737678293
677 340 397772714
980 299 255691085
394 137 555739730
583 252 351888121
634 651 865739373
677 621 838918554
400 250 630356003
492 952 194718028
604 776 771692395
972 908 505335109
738 215 857226722
768 231 539070332
892 416 75446089
356 891 143558998
250 156 124798841
369 308 340984413
314 272 425305079
920 723 778545292
393 464 583856705
610 158 652854619
693 172 895460947
716 240 205812314
629 180 134766917
719 616 974768320
800 351 864854306
220 947 171177882
971 174 72420517
610 842 559208283
966 85 315473025
193 452 398226200
975 308 41882520
369 317 733749494
948 840 869625756
340 180 182828194
43 452 31610939
113 510 696626923
872 265 178287085
578 377 457416840
799 72 801006969
471 453 776635260
780 420 436028111
688 204 60663408
781 776 129039424
660 902 299081865
141 34 705601602
110 33 138116965
494 142 594612713
461 509 333775439
705 306 29245658
55 334 287642081
696 349 41471690
680 335 334702733
262 898 252580311
776 477 145191285
566 65 145352499
271 706 806570271
912 601 502813412
44 102 300138194
482 776 389315210
160 641 435256644
58 914 690216933
62 320 538340021
288 802 381520877
780 137 583370248
70 513 712756620
140 626 941097285
418 620 969843887
891 244 13467842
835 947 460820503
917 632 985735557
994 197 554475011
688 421 574185630
572 233 564433567
364 420 11150461
234 856 232971501
949 906 155959106
359 849 588321328
658 159 644611044
819 822 51997885
351 315 232942504
376 59 337885054
137 776 722111868
62 255 778213903
845 879 205979075
549 554 477798228
221 997 781711990
801 715 622705725
84 511 12344242
55 332 44226876
473 594 241504504
685 517 598829983
697 440 953790324
88 376 601126970
979 997 496033693
378 293 202256301
725 282 92813774
107 257 432784634
148 60 999588431
859 191 355426626
775 620 874369392
221 151 435278272
635 271 66342964
846 681 639031981
527 263 353078851
142 917 859102100
344 129 630170799
969 860 229147299
464 552 50000184
433 491 432374573
452 997 307516006
763 994 722214410
914 585 837951680
392 574 890547383
410 11 564322363
823 374 869209368
226 289 988244084
152 862 120238194
684 170 951841260
729 789 941719260
937 810 245157542
27 291 157673090
351 137 548408674
26 264 953697871
906 207 68361729
856 641 586128559
969 521 143826472
640 547 893035268
989 278 934715715
868 255 545947654
488 443 618649574
697 181 111515680
114 89 861542069
680 488 709775545
274 347 959638032
533 152 626138981
19 615 831903956
83 459 168887239
22 10 461259717
361 613 683817528
928 207 793556238
96 861 928279848
956 844 653537877
722 985 732690755
879 496 845027097
744 221 935885544
478 96 381850075
176 908 480318135
304 154 797602032
238 861 347147054
13 373 480072820
748 13 108845561
867 827 658562037
727 423 316976838
416 577 494811836
170 719 538554711
6 156 934611857
802 90 140946557
103 847 688395537
153 255 994239556
714 997 981544535
449 777 480965307
497 577 688915168
971 643 584582034
290 102 871518668
844 271 611499082
29 371 685237950
789 656 631776953
467 917 448599954
387 287 859140507
870 886 983244825
728 687 102765030
224 663 747795454
355 369 306185710
818 478 480192492
558 596 717336662
774 61 564046236
329 68 737222496
600 197 107986222
35 470 870742975
408 32 828644924
300 991 771491878
644 878 82166742
64 867 730671435
903 898 457943161
337 840 137574644
781 386 773936033
763 321 460876211
729 248 188663775
220 742 768626896
730 615 454493643
134 962 763264538
580 290 161734596
823 131 925377833
501 947 50424481
518 600 416417333
69 321 83844159
341 719 656324229
314 368 780937820
697 768 177204492
606 93 282289548
784 858 652411154
43 962 795210089
630 557 221445020
299 898 489693276
701 880 694860843
658 751 21683670
36 805 590521373
147 748 115694593
896 572 999311659
196 137 943486853
73 131 166488230
590 809 310907073
208 641 765450591
831 31 366645174
589 199 105810896
689 207 897909436
366 749 79112919
464 802 194580868
45 632 86730152
27 391 302358355
626 60 216135034
19 609 915104513
821 516 690527262
323 441 354722617
940 287 604068261
285 89 475467496
412 835 220030847
964 838 665311144
435 577 291190035
383 215 292300879
536 106 688794810
396 690 152159801
810 946 553234906
232 849 987606198
217 511 551864147
791 835 40967374
227 915 958489178
425 73 675649937
47 456 454119999
831 505 525825254
937 280 650098369
373 416 842917696
970 620 619715223
816 250 925541989
811 644 570233677
543 440 100951616
33 476 905367122
220 426 159868823
228 158 765815773
126 428 110083708
773 871 14749882
16 805 243677966
901 59 709068980
166 111 736951334
921 701 367705238
826 682 360760652
162 50 125848594
484 908 829484823
870 412 452421881
691 692 707643033
818 843 624910602
541 695 516823999
574 50 620391050
443 740 546890082
355 20 792308698
390 63 799152672
549 104 471138400
201 871 984443544
563 738 812035713
8 594 662654067
824 180 900026138
420 513 596327146
313 830 901136704
589 212 365127622
476 283 290285848
924 271 547599838
813 827 308114300
520 759 640777254
346 967 611295436
602 434 521835622
228 175 409988221
45 609 882948177
982 292 509824455
319 513 475764799
371 446 449314701
618 997 806534732
217 949 351552656
164 319 53041834
240 349 376806532
792 508 207363297
999 60 759007954
138 360 876319532
794 521 635004767
126 983 353883074
851 107 274505254
348 315 108926488
42 805 463259474
324 211 186675919
840 60 975235776
444 186 150335259
686 191 123639256
221 495 875897544
294 416 791204509
42 137 26178694
594 985 576419193
786 212 255350786
83 131 557484841
707 290 185344493
785 138 620248430
150 594 781882690
560 874 583418005
367 421 183288101
610 820 588936046
272 489 21216028
112 400 710754446
761 873 799933678
44 90 627676072
8 535 591514636
678 700 829768350
341 681 401626015
928 178 120068003
979 620 281736545
538 202 130155497
62 974 237585398
218 353 696503253
649 123 386398281
271 878 207072077
301 524 177746049
472 370 174079935
206 741 55013441
849 856 249411388
82 335 630569008
459 465 813577690
60 715 101164490
435 860 936678191
214 932 835626918
196 569 697223794
849 211 289650178
882 802 323938881
511 291 593318708
790 247 139514305
12 481 218492415
418 903 412842779
795 197 248617153
490 340 817191460
575 210 305457250
243 276 72431706
644 283 588061336
41 88 134656525
805 692 140956422
281 120 983215920
559 331 665496542
159 646 365909765
154 844 385771482
273 715 233431994
439 875 258985774
264 978 979964395
764 776 741394482
403 477 570865409
956 256 824132957
449 912 768297926
258 883 500361636
251 815 717796521
909 509 253976767
155 687 999797402
996 861 721869454
321 109 36055386
533 838 818522981
678 763 739037301
77 52 697076851
100 962 358823048
125 602 73095630
345 618 573683206
544 421 886515283
733 265 978560984
585 504 265900155
364 883 217055894
619 28 109360227
72 10 530102900
610 750 964673361
84 525 153959173
774 648 631580576
155 695 127042104
240 518 892534443
229 263 955745974
41 265 313288998
748 185 815993973
807 754 482344218
887 591 803183965
185 947 519822442
375 455 288898420
182 244 944357993
296 358 316478750
189 315 138738197
810 846 724641808
874 416 81513451
999 950 967223079
388 103 915068435
302 494 555780456
725 970 53388079
85 57 998768125
771 25 702054780
150 220 572121211
277 865 21588568
260 330 665913390
183 322 92804846
499 703 277972352
204 210 734691675
675 598 296957233
787 156 893967358
262 234 807457675
445 754 887590600
130 883 137017968
503 868 115907312
881 111 466596690
327 646 175826116
571 468 89176164
349 994 638377404
607 191 773180696
761 371 899529096
70 805 538890864
893 967 539564061
754 517 564691047
7 780 479877814
781 532 107193686
422 233 896680294
960 27 421312276
623 620 168780588
61 72 37767406
968 392 464868840
813 566 594932176
236 330 48964910
820 464 199217905
602 738 699572418
945 443 596397315
543 624 463722987
641 308 16594533
225 142 658055367
844 726 948053312
989 862 570176252
238 402 616423497
257 118 698066594
193 806 254346663
641 315 634796223
271 282 438955448
191 197 186591386
891 882 489006503
200 253 18222058
40 855 578464601
430 428 323805419
747 676 924055864
407 185 174696439
190 37 532154080
242 207 130723868
833 706 109524419
993 884 457169910
432 85 792811
786 740 541232942
571 331 506592060
831 146 24211990
466 481 345060604
628 886 655199000
787 191 325523771
275 884 94854320
356 110 508086020
974 982 601209224
32 609 731954150
666 754 630999038
755 635 392071790
678 791 287200375
543 647 477113200
822 654 770717080
42 308 850019759
599 883 352218495
410 201 382132172
558 723 777674834
227 789 388042373
220 757 916467134
997 604 478405994
906 907 591903803
448 843 401346498
335 108 720126741
575 503 151924000
910 402 138075769
414 451 123221734
274 706 223127399
254 266 198175992
531 518 895434248
389 616 842574370
556 247 534797768
941 33 104479888
570 877 412777171
703 10 425560403
753 162 704173578
